OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
34533,1968,CA,USF,SRF, ,0,1980/07/21 00:00:00+00,1980/07/22 00:00:00+00,2,,4,3.983196,8,1,19,589.8882845,-27619.93207
34534,1968,CA,USF,CNF,EL MONTE,0,1995/08/27 00:00:00+00,1995/09/03 00:00:00+00,3,,8100,8564.2422,8,1,45,53407.51827,-49314109.05
34535,1968,CA,USF,CNF,CEDAR,0,1996/06/10 00:00:00+00,1996/06/12 00:00:00+00,4,,483,483.3129,8,1,30,8421.854643,-2788523.5
34536,1968,CA,USF,CNF,OROSCO,0,1999/08/21 00:00:00+00,1999/08/23 00:00:00+00,9,,180,202.93103,8,1,93,5127.094883,-1174606.263
34537,1968,CA,USF,SRF, ,0,1980/07/30 00:00:00+00,1980/07/30 00:00:00+00,7,,3,2.9873402,8,1,22,511.8834321,-20798.17752
34538,1968,CA,USF,SRF, ,0,1980/08/13 00:00:00+00,1980/08/13 00:00:00+00,7,,5,4.97892,8,1,28,662.7049275,-34859.688
34539,1968,CA,USF,MDF,BUCHER,0,1998/08/21 00:00:00+00,1998/08/21 00:00:00+00,14,,11,11.088181,8,1,58,1439.896518,-80334.22163
34540,1968,CA,USF,MDF,NORTH CROWDER,0,1998/08/22 00:00:00+00,1998/09/08 00:00:00+00,1,,2693,2693.0549,8,1,60,26226.67097,-19603333.99
34541,1968,CA,CDF,SCU,BRUNS,2734,1998/08/20 00:00:00+00,,11,,,100.05688,,1,260,3834.953574,-649395.017
34542,1968,CA,CDF,SCU,DEL PUERTO,2604,1998/12/10 00:00:00+00,,9,,,110.23994,,1,224,3946.844627,-709475.437
34543,1968,CA,CDF,SCU,MT. HOUSE,2770,,,11,,,68.38533,,1,267,2567.420571,-443573.4434
34544,1968,CA,CDF,SCU,BYRON,1939,,,11,,,55.021103,,1,123,2440.248266,-357410.2457
34545,1968,CA,CDF,TCU,HWY 120 #3,5675,1998/09/08 00:00:00+00,,10,,,152.76755,,1,607,5365.028579,-993048.6993
34546,1968,CA,USF,SRF, ,0,1998/10/01 00:00:00+00,,14,,,144.31137,,1,0,3963.828038,-1035976.722
34547,1968,CA,USF,SRF, ,0,1998/10/01 00:00:00+00,,14,,,625.01031,,1,0,8065.217388,-4485313.131
34548,1968,CA,USF,SRF, ,0,1998/10/01 00:00:00+00,,14,,,11140.899,,1,0,51256.11761,-80022426.9
34549,1968,CA,USF,SQF,YANKEE,0,1998/08/31 00:00:00+00,1998/09/02 00:00:00+00,9,,1116,1240.6654,8,1,73,12992.7142,-7618445.529
34550,1968,CA,USF,SQF,LUCAS,0,1998/08/23 00:00:00+00,1998/08/24 00:00:00+00,7,,25,14.618478,8,1,61,1696.510806,-89434.37991
34551,1968,CA,USF,MNF,GARCIA,0,1998/09/02 00:00:00+00,1998/09/08 00:00:00+00,2,,138,138.33362,8,1,42,6307.606874,-941235.2231
