abbreviation,population
KY,4146101
KY,998459
KY,4117170
KY,998485
KY,4219239
KY,1011295
KY,4182742
KY,1004020
KY,4289878
KY,1022001
KY,4256672
KY,1016288
KY,1014004
KY,4317074
KY,1021710
KY,4395295
KY,4347698
KY,1023679
KY,4366869
KY,1021926
KY,1017350
KY,4379730
LA,4602134
LA,1114620
LA,1116579
LA,4575197
LA,1118576
LA,4545392
LA,4625470
LA,4491648
LA,1114228
LA,1112957
LA,4375581
LA,1096642
LA,4435586
LA,1108728
LA,4576628
LA,1177954
LA,4302665
LA,1078779
LA,4521042
LA,1188070
LA,4552238
LA,1182731
LA,4477875
LA,1204187
LA,4497267
LA,1194819
LA,4471885
LA,1217670
LA,4460811
LA,1227167
LA,4421072
LA,1239665
LA,1232984
LA,4440344
LA,1244627
LA,4398877
LA,4378779
LA,1250112
LA,1237034
LA,4293003
LA,4316428
LA,1239161
LA,1247631
LA,4347481
LA,4253279
LA,1222330
LA,1205984
LA,4221532
ME,308066
ME,1231719
ME,1237081
ME,309871
ME,311570
ME,1242662
ME,1242302
ME,310966
ME,310679
ME,1238508
ME,1243481
ME,309173
ME,307740
ME,1249060
ME,304496
ME,1259127
ME,1254774
ME,305097
ME,1266808
ME,302321
ME,1277072
ME,301407
ME,1295960
ME,298595
ME,1285692
ME,300088
ME,1313688
ME,294791
ME,1306513
ME,296786
ME,1323619
ME,288945
ME,1318787
ME,292039
ME,1330509
ME,282204
ME,1327040
ME,286185
ME,261276
ME,1329590
ME,277946
ME,1328302
ME,1327366
ME,273061
ME,1327844
ME,268737
ME,264846
ME,1328501
MD,5884868
MD,1346235
MD,1348766
MD,5840241
MD,1351983
MD,5787193
MD,5928814
MD,5730388
MD,1353631
MD,1344522
MD,5653408
MD,1369563
MD,5684965
MD,1359214
MD,5592379
MD,1382966
MD,5627367
MD,1377756
MD,5496269
MD,1379641
MD,5546935
MD,1383450
MD,5374691
MD,1366552
MD,5440389
MD,1375354
MD,5311034
MD,1356961
MD,5254509
MD,1348659
MD,5157328
MD,1321306
MD,1338727
MD,5204464
MD,1303816
MD,5111986
MD,5070033
MD,1300695
MD,1235498
MD,4923369
MD,4971889
MD,1261738
MD,1280772
MD,5023060
MD,4867641
MD,1208898
MD,1180426
MD,4799770
MA,1353806
MA,6022639
MA,6018470
MA,1375110
MA,1437069
MA,6095241
MA,6060569
MA,1415724
MA,1390188
MA,6028709
MA,6141445
MA,1453489
MA,1468614
MA,6179756
MA,1491652
MA,6271838
MA,6226058
MA,1478203
MA,6317345
MA,1495818
MA,6361104
MA,1501334
MA,6397634
MA,1505028
MA,6417206
MA,1502652
MA,6412281
MA,1479541
MA,6422565
MA,1493372
MA,6410084
MA,1450202
MA,6403290
MA,1464140
MA,6468967
MA,1429727
MA,6431559
MA,1439757
MA,1393946
MA,6517613
MA,1422935
MA,6692824
MA,6563263
MA,1415962
MA,6606285
MA,1407240
MA,1399417
MA,6645303
MI,9882519
MI,2269365
MI,2299116
MI,9874589
MI,2333121
MI,9876149
MI,9895622
MI,9901591
MI,2372603
MI,2245201
MI,10001284
MI,2470063
MI,9946889
MI,2418879
MI,10051137
