OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,SHAPE_Length,SHAPE_Area
31251,1959,CA,CDF,BTU,PLUMAS N.F. #2,0,1959/08/04 00:00:00+00,,9,,,1408.7065,,1,65,16524.28618,-9798441.877
31252,1959,CA,CCO,LAC, ,0,1959/08/31 00:00:00+00,,14,,,9.7555037,,1,0,1006.556311,-57572.55569
31253,1959,CA,CCO,LAC, ,0,1959/08/22 00:00:00+00,,14,,,34.835854,,1,0,1706.506097,-205758.3734
31254,1959,CA,CCO,LAC, ,0,1959/10/14 00:00:00+00,,14,,,57.335804,,1,0,2656.314735,-338706.1272
31255,1959,CA,CCO,LAC, ,0,1959/06/12 00:00:00+00,,14,,,2256.2053,,1,0,22628.88361,-13460728.69
31256,1959,CA,CCO,LAC, ,0,1959/12/13 00:00:00+00,,14,,,7.0323548,,1,0,804.5145235,-41643.29011
31257,1959,CA,CCO,LAC, ,0,1959/10/25 00:00:00+00,,14,,,25.724398,,1,0,2459.871842,-153384.9301
31258,1959,CA,CCO,LAC, ,0,1959/07/09 00:00:00+00,,14,,,66.803024,,1,0,3607.286348,-395899.2468
31259,1959,CA,CCO,LAC, ,0,1959/06/18 00:00:00+00,,14,,,118.59043,,1,0,4574.755319,-702838.2016
31260,1959,CA,CCO,LAC,WOODWARDIA FIRE,0,1959/10/13 00:00:00+00,,14,,,14403.343,,1,0,74013.03436,-85529895.85
31261,1959,CA,CCO,LAC, ,0,1959/07/07 00:00:00+00,,14,,,385.047,,1,0,8593.52466,-2284411.075
31262,1959,CA,CCO,LAC, ,0,1959/07/12 00:00:00+00,,14,,,34.84235,,1,0,2028.130987,-206886.7251
31263,1959,CA,USF,SQF, ,0,,,9,,,50.074696,,1,1,2244.337141,-309846.7259
31264,1966,CA,CCO,KRN,BRECKENRIDGE,0,1966/06/15 00:00:00+00,,1,,,5322.4375,,1,197,31003.16782,-32518416.53
31265,1966,CA,USF,SQF, ,0,,,9,,,27.876894,,1,1,2569.746056,-173959.2703
31266,1966,CA,USF,SQF, ,0,,,9,,,19.809965,,1,19,1383.075335,-122653.4591
31267,1966,CA,USF,SQF, ,0,,,9,,,11.799466,,1,2,1030.106894,-73031.90986
31268,1966,CA,USF,SQF, ,0,,,9,,,13.016285,,1,55,1348.053662,-80402.25847
31269,1966,CA,USF,SQF, ,0,,,1,,,66.354523,,1,73,2612.894997,-406777.4151
31270,1966,CA,USF,SQF, ,0,,,9,,,150.25804,,1,107,5166.247271,-919818.5177
31271,1966,CA,USF,SQF, ,0,,,9,,,540.91205,,1,106,17362.04875,-3307244.686
31272,1966,CA,USF,SQF, ,0,,,9,,,208.75401,,1,94,5540.513369,-1273952.627
31273,1974,CA,CCO,KRN,KREMSER,2502,1974/08/07 00:00:00+00,,14,,,526.30426,,1,526,7797.277631,-3190368.515
